query,tools_used
Should teachers get tenure?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Is vaping with e-cigarettes safe?,[]
Should insider trading be allowed?,['rank_lexically']
Should corporal punishment be used in schools?,"['rank_lexically', 'rank_lexically', 'reranker']"
Should social security be privatized?,[]
Is a college education worth it?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Should felons who have completed their sentence be allowed to vote?,['rank_lexically']
Should abortion be legal?,['rank_lexically']
Should students have to wear school uniforms?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Should any vaccines be required for children?,"['rank_lexically', 'rank_lexically']"
Should performance-enhancing drugs be accepted in sports?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Should birth control pills be available over the counter?,['rank_lexically']
Can alternative energy effectively replace fossil fuels?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Is sexual orientation determined at birth?,['rank_lexically']
Should animals be used for scientific or commercial testing?,"['rank_lexically', 'rank_lexically']"
Should prescription drugs be advertised directly to consumers?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Should recreational marijuana be legal?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Should churches remain tax-exempt?,"['rank_lexically', 'rank_lexically']"
Should gay marriage be legal?,"['rank_lexically', 'rank_lexically']"
Is drinking milk healthy for humans?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Is human activity primarily responsible for global climate change?,"['rank_lexically', 'rank_lexically']"
Is a two-state solution an acceptable solution to the Israeli-Palestinian conflict?,"['rank_lexically', 'rank_lexically', 'reranker']"
Should euthanasia or physician-assisted suicide be legal?,['rank_lexically']
Does lowering the federal corporate income tax rate create jobs?,"['rank_lexically', 'rank_lexically']"
Do standardized tests improve education?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'reranker']"
Should more gun control laws be enacted?,['rank_lexically']
Should prostitution be legal?,"['rank_lexically', 'rank_lexically']"
Should the government allow illegal immigrants to become citizens?,['rank_lexically']
Should adults have the right to carry a concealed handgun?,"['rank_lexically', 'rank_lexically']"
Is obesity a disease?,"['rank_lexically', 'rank_lexically']"
Do electronic voting machines improve the voting process?,"['rank_lexically', 'rank_lexically', 'reranker']"
Should people become vegetarian?,"['rank_lexically', 'rank_lexically']"
Are social networking sites good for our society?,"['rank_lexically', 'rank_lexically']"
Do violent video games contribute to youth violence?,"['rank_lexically', 'rank_lexically', 'reranker']"
Is golf a sport?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Is cell phone radiation safe?,"['rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically', 'rank_lexically']"
Should marijuana be a medical option?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Should the federal minimum wage be increased?,"['rank_lexically', 'rank_lexically']"
Should the death penalty be allowed?,['rank_lexically']
Should student loan debt be easier to discharge in bankruptcy?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Should fighting be allowed in hockey?,['rank_lexically']
Should bottled water be banned?,['rank_lexically']
Should election day be a national holiday?,"['rank_lexically', 'rank_lexically']"
Should the penny stay in circulation?,['rank_lexically']
Should net neutrality be restored?,"['rank_lexically', 'reranker']"
Is homework beneficial?,"['rank_lexically', 'rank_lexically', 'rank_lexically']"
Should the voting age be lowered?,"['rank_lexically', 'reranker']"
Should body cameras be mandatory for police?,[]
Should everyone get a universal basic income?,"['rank_lexically', 'rank_lexically']"
